Day;Time;Mem init;Mem firefox;CPU init;CPU firefox;CPU multithread;CPU multithread/0;CPU multithread/1;CPU multithread/2;CPU multithread/3;CPU multithread/4;CPU multithread/5;CPU multithread/6;CPU multithread/7;CPU multithread/8;CPU multithread/9;CPU multithread/10;CPU multithread/11;CPU multithread/12;CPU multithread/13;CPU multithread/14;CPU multithread/15;CPU multithread/16;CPU multithread/17;CPU multithread/18;CPU multithread/19
2015-04-04;02:30:20;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:30:21;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,5;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:30:22;41828;1098136;0,0;0,0;0,0;6,5;0,0;0,0;0,0;0,0;0,0;6,5;0,0;6,5;6,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:30:24;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:30:25;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:30:27;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:30:28;41828;1098136;0,0;0,0;0,0;0,0;0,0;32,2;0,0;0,0;45,0;0,0;57,9;0,0;0,0;0,0;0,0;57,9;0,0;83,6;0,0;0,0;0,0;0,0;57,9
2015-04-04;02:30:29;41828;1098136;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;6,4;0,0;0,0;6,4;0,0
2015-04-04;02:30:31;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:30:32;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0
